event_time,symbol,price,quantity,trade_time
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,7e-05,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.027,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.04,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.027,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.048,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.027,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.027,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.048,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.00014,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.027,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.027,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.027,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.00014,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.2969,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.00014,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.00014,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.1629,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.3934,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.00014,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.00171,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.00047,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.01887,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.03127,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,7e-05,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.0785,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.080000,BTCUSDT,71685.48,0.12156,2026-04-12 11:00:29.080000
2026-04-12 11:00:29.147000,BTCUSDT,71685.48,0.00019,2026-04-12 11:00:29.146000
2026-04-12 11:00:29.592000,BTCUSDT,71685.48,0.00348,2026-04-12 11:00:29.591000
